date,adm2_id,ADM2_PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
#date,#adm2+id,#adm2+code,#indicator+n_pixels+num,#indicator+rfh+num,#indicator+rfh_avg+num,#indicator+r1h+num,#indicator+r1h_avg+num,#indicator+r3h+num,#indicator+r3h_avg+num,#indicator+rfq+pct,#indicator+r1q+pct,#indicator+r3q+pct,#status
2019-01-01,1011450,RW22,24.0,30.1667,34.1806,107.3333,115.85,479.375,394.2556,89.7554,93.2327,121.0559,final
2019-01-11,1011450,RW22,24.0,78.0,34.3222,130.875,115.2542,524.5,383.5944,211.0766,112.4713,135.7997,final
2019-01-21,1011450,RW22,24.0,48.9167,38.175,157.0833,106.6778,516.8333,375.1361,124.8794,143.2006,136.7915,final
2019-02-01,1011450,RW22,24.0,50.4167,34.8792,177.3333,107.3764,492.8333,357.7056,138.9614,159.6005,136.7489,final
2019-02-11,1011450,RW22,24.0,14.875,40.9361,114.2083,113.9903,478.3333,354.6361,43.2666,100.1759,133.9235,final
2019-02-21,1011450,RW22,24.0,16.6667,30.2917,81.9583,106.1069,450.0833,335.3375,61.3932,79.2014,133.2272,final
2019-03-01,1011450,RW22,24.0,22.75,47.6389,54.2917,118.8667,338.9583,342.0931,52.7177,49.8901,99.1097,final
2019-03-11,1011450,RW22,24.0,31.5417,41.0889,70.9583,119.0194,316.0417,348.2639,79.2852,62.7489,91.006,final
2019-03-21,1011450,RW22,24.0,50.625,59.5361,104.9167,148.2639,343.9583,361.0486,86.1921,72.6108,95.3941,final
2019-04-01,1011450,RW22,24.0,49.9583,64.1417,132.125,164.7667,363.75,391.0097,79.4866,81.3227,93.2022,final
2019-04-11,1011450,RW22,24.0,60.375,57.9514,160.9583,181.6292,346.125,414.6389,103.85,89.2131,83.8654,final
2019-04-21,1011450,RW22,24.0,85.375,52.9736,195.7083,175.0667,382.5833,429.4375,155.8899,111.1536,89.3377,final
2019-05-01,1011450,RW22,24.0,37.9583,44.6431,183.7083,155.5681,370.125,439.2014,86.5344,116.9962,84.6224,final
2019-05-11,1011450,RW22,24.0,85.6667,34.4639,209.0,132.0806,440.9167,432.7292,229.7459,154.1379,101.8493,final
2019-05-21,1011450,RW22,24.0,73.7083,32.3889,197.3333,111.4958,497.9583,434.8264,210.5126,170.6506,114.1925,final
2019-06-01,1011450,RW22,24.0,5.9167,8.8181,165.2917,75.6708,481.125,396.0056,79.0029,204.6107,120.9651,final
2019-06-11,1011450,RW22,24.0,1.375,3.7722,81.0,44.9792,450.9583,358.6889,72.6726,165.5172,125.0264,final
2019-06-21,1011450,RW22,24.0,2.8333,2.5486,10.125,15.1389,403.1667,301.7014,103.7718,80.0552,132.5521,final
2019-07-01,1011450,RW22,24.0,2.625,1.8986,6.8333,8.2194,355.8333,239.4583,110.5295,92.3921,146.6511,final
2019-07-11,1011450,RW22,24.0,1.2083,0.8681,6.6667,5.3153,296.6667,182.375,105.7988,108.8238,159.4109,final
2019-07-21,1011450,RW22,24.0,1.4583,2.3569,5.2917,5.1236,212.75,131.7583,87.7855,101.1112,157.1336,final
2019-08-01,1011450,RW22,24.0,13.1667,6.8236,15.8333,10.0486,187.9583,93.9389,153.6474,128.8535,190.4565,final
2019-08-11,1011450,RW22,24.0,5.5833,8.2569,20.2083,17.4375,107.875,67.7319,79.8324,110.0987,151.6429,final
2019-08-21,1011450,RW22,24.0,16.7917,12.4569,35.5417,27.5375,50.9583,47.8,124.8309,121.3231,105.4642,final
2019-09-01,1011450,RW22,24.0,42.1667,22.4056,64.5417,43.1194,87.2083,61.3875,172.1062,140.3284,136.17,final
2019-09-11,1011450,RW22,24.0,13.5417,22.9194,72.5,57.7819,99.375,80.5347,66.4113,121.7138,120.81,final
2019-09-21,1011450,RW22,24.0,21.125,25.6444,76.8333,70.9694,117.6667,103.6306,85.252,107.2421,112.3524,final
2019-10-01,1011450,RW22,24.0,36.75,36.7569,71.4167,85.3208,151.7917,138.4889,99.9834,85.4133,108.9588,final
2019-10-11,1011450,RW22,24.0,58.125,44.9833,116.0,107.3847,208.7083,182.6042,126.2921,107.3394,113.5533,final
2019-10-21,1011450,RW22,24.0,43.1667,46.6333,138.0417,128.3736,250.4167,226.8806,93.286,106.9869,109.9359,final
2019-11-01,1011450,RW22,24.0,28.8333,52.3097,130.125,143.9264,266.0833,272.3667,59.0359,91.0338,97.7748,final
2019-11-11,1011450,RW22,24.0,92.4583,44.0056,164.4583,142.9486,352.9583,308.1153,198.872,114.0634,114.0965,final
2019-11-21,1011450,RW22,24.0,39.9583,49.5903,161.25,145.9056,376.125,345.2486,82.3559,109.8421,108.6915,final
2019-12-01,1011450,RW22,24.0,65.25,40.8833,197.6667,134.4792,399.2083,363.7264,153.1057,143.7347,109.4941,final
2019-12-11,1011450,RW22,24.0,30.7917,34.9181,136.0,125.3917,416.4583,375.725,89.6629,107.8353,110.5602,final
2019-12-21,1011450,RW22,24.0,40.5,46.7514,136.5417,122.5528,435.8333,396.8319,87.9203,110.5534,109.5866,final
2020-01-01,1011450,RW22,24.0,32.4583,34.1806,103.75,115.85,431.5417,394.2556,95.6044,90.3854,109.2234,final
2020-01-11,1011450,RW22,24.0,34.0833,34.3222,107.0417,115.2542,407.5,383.5944,99.3925,93.4433,106.0737,final
2020-01-21,1011450,RW22,24.0,85.1667,38.175,151.7083,106.6778,449.5,375.1361,208.84,138.5939,119.3085,final
2020-02-01,1011450,RW22,24.0,54.1667,34.8792,173.4167,107.3764,474.8333,357.7056,148.3649,156.2637,131.8537,final
2020-02-11,1011450,RW22,24.0,53.375,40.9361,192.7083,113.9903,435.75,354.6361,127.0787,163.4873,122.2452,final
2020-02-21,1011450,RW22,24.0,54.0,30.2917,161.5417,106.1069,449.7917,335.3375,167.1783,147.7445,133.1427,final
2020-03-01,1011450,RW22,24.0,30.5417,47.6389,137.9167,118.8667,415.0833,342.0931,67.5198,114.7827,120.7304,final
2020-03-11,1011450,RW22,24.0,81.0417,41.0889,165.5833,119.0194,465.3333,348.2639,186.6864,136.0906,132.6769,final
2020-03-21,1011450,RW22,24.0,51.5833,59.5361,163.1667,148.2639,476.4167,361.0486,87.677,109.4164,131.0924,final
2020-04-01,1011450,RW22,24.0,42.6667,64.1417,175.2917,164.7667,486.625,391.0097,68.9406,106.0223,123.8436,final
2020-04-11,1011450,RW22,24.0,62.4583,57.9514,156.7083,181.6292,515.0,414.6389,107.1594,86.9953,123.6345,final
2020-04-21,1011450,RW22,24.0,108.3333,52.9736,213.4583,175.0667,538.1667,429.4375,195.4912,120.7448,124.7428,final
2020-05-01,1011450,RW22,24.0,27.5417,44.6431,198.3333,155.5681,511.5417,439.2014,65.5513,125.8294,116.1042,final
2020-05-11,1011450,RW22,24.0,42.75,34.4639,178.625,132.0806,500.9167,432.7292,120.9967,132.7592,115.4016,final
2020-05-21,1011450,RW22,24.0,14.9583,32.3889,85.25,111.4958,461.875,434.8264,53.3804,78.3978,106.0807,final
2020-06-01,1011450,RW22,24.0,2.875,8.8181,60.5833,75.6708,434.2083,396.0056,56.9907,82.389,109.4094,final
2020-06-11,1011450,RW22,24.0,2.5833,3.7722,20.4167,44.9792,355.75,358.6889,86.4471,55.324,99.2029,final
2020-06-21,1011450,RW22,24.0,1.6667,2.5486,7.125,15.1389,305.8333,301.7014,88.3165,68.1215,101.3256,final
2020-07-01,1011450,RW22,24.0,1.4167,1.8986,5.6667,8.2194,264.5833,239.4583,93.0139,85.9887,110.0718,final
2020-07-11,1011450,RW22,24.0,2.9167,0.8681,6.0,5.3153,205.0417,182.375,134.9112,104.4708,111.7825,final
2020-07-21,1011450,RW22,24.0,1.1667,2.3569,5.5,5.1236,97.875,131.7583,83.821,102.4888,76.0978,final
2020-08-01,1011450,RW22,24.0,2.5833,6.8236,6.6667,10.0486,72.9167,93.9389,64.1372,83.1313,79.7744,final
2020-08-11,1011450,RW22,24.0,2.5,8.2569,6.25,17.4375,32.6667,67.7319,56.5741,59.2255,54.8895,final
2020-08-21,1011450,RW22,24.0,6.5833,12.4569,11.6667,27.5375,24.2917,47.8,66.3537,57.7201,59.3281,final
2020-09-01,1011450,RW22,24.0,20.75,22.4056,29.8333,43.1194,42.1667,61.3875,93.9591,74.9882,73.0754,final
2020-09-11,1011450,RW22,24.0,12.9167,22.9194,40.25,57.7819,52.5,80.5347,64.1727,74.1348,69.0343,final
2020-09-21,1011450,RW22,24.0,38.2917,25.6444,71.9583,70.9694,89.125,103.6306,141.2708,101.2213,87.2345,final
2020-10-01,1011450,RW22,24.0,45.5,36.7569,96.7083,85.3208,133.2083,138.4889,120.938,111.9465,96.4438,final
2020-10-11,1011450,RW22,24.0,45.9583,44.9833,129.75,107.3847,176.25,182.6042,101.9507,119.053,96.7009,final
2020-10-21,1011450,RW22,24.0,110.125,46.6333,201.5833,128.3736,285.2083,226.8806,222.9664,152.9073,124.6233,final
2020-11-01,1011450,RW22,24.0,49.25,52.3097,205.3333,143.9264,331.875,272.3667,94.6611,139.8937,121.0748,final
2020-11-11,1011450,RW22,24.0,42.5,44.0056,201.875,142.9486,371.875,308.1153,96.9278,138.5269,120.043,final
2020-11-21,1011450,RW22,24.0,59.5833,49.5903,151.3333,145.9056,424.875,345.2486,118.3056,103.4815,122.4143,final
2020-12-01,1011450,RW22,24.0,95.625,40.8833,197.7083,134.4792,499.75,363.7264,219.3062,143.7635,136.3966,final
2020-12-11,1011450,RW22,24.0,66.7083,34.9181,221.9167,125.3917,553.5417,375.725,179.6388,171.2932,146.0993,final
2020-12-21,1011450,RW22,24.0,47.0833,46.7514,209.4167,122.5528,562.3333,396.8319,100.6414,165.5315,140.6805,final
2021-01-01,1011450,RW22,24.0,24.5,34.1806,138.2917,115.85,541.3333,394.2556,75.2924,117.8321,136.3824,final
2021-01-11,1011450,RW22,24.0,18.3333,34.3222,89.9167,115.2542,513.7083,383.5944,59.3388,79.7711,133.0579,final
2021-01-21,1011450,RW22,24.0,44.5417,38.175,87.375,106.6778,448.125,375.1361,114.7462,83.4563,118.9515,final
2021-02-01,1011450,RW22,24.0,45.4583,34.8792,108.3333,107.3764,444.3333,357.7056,126.5281,100.8153,123.559,final
2021-02-11,1011450,RW22,24.0,44.2083,40.9361,134.2083,113.9903,446.0417,354.6361,107.1234,116.3062,125.0676,final
2021-02-21,1011450,RW22,24.0,23.7917,30.2917,113.4583,106.1069,410.25,335.3375,81.5821,106.3316,121.6925,final
2021-03-01,1011450,RW22,24.0,61.7083,47.6389,129.7083,118.8667,376.3333,342.0931,126.7282,108.4131,109.7248,final
2021-03-11,1011450,RW22,24.0,36.8333,41.0889,122.3333,119.0194,346.4583,348.2639,90.7666,102.5685,99.496,final
2021-03-21,1011450,RW22,24.0,34.7083,59.5361,133.25,148.2639,334.0833,361.0486,61.5289,90.5134,92.7327,final
2021-04-01,1011450,RW22,24.0,42.625,64.1417,114.1667,164.7667,352.2083,391.0097,68.8803,71.0471,90.3241,final
2021-04-11,1011450,RW22,24.0,67.875,57.9514,145.2083,181.6292,401.75,414.6389,115.7639,80.9941,96.9647,final
2021-04-21,1011450,RW22,24.0,47.0833,52.9736,157.5833,175.0667,404.2917,429.4375,89.8397,90.553,94.2777,final
2021-05-01,1011450,RW22,24.0,95.1667,44.6431,210.125,155.5681,454.0,439.2014,201.7738,132.9514,103.2944,final
2021-05-11,1011450,RW22,24.0,109.4583,34.4639,251.7083,132.0806,519.25,432.7292,290.0331,184.1971,119.5426,final
2021-05-21,1011450,RW22,24.0,14.3333,32.3889,218.9583,111.4958,509.7917,434.8264,51.7088,188.4495,116.8527,final
2021-06-01,1011450,RW22,24.0,2.5,8.8181,126.2917,75.6708,450.5833,396.0056,54.2768,159.0876,113.4426,final
2021-06-11,1011450,RW22,24.0,2.3333,3.7722,19.1667,44.9792,416.0833,358.6889,83.5972,53.0504,115.5672,final
2021-06-21,1011450,RW22,24.0,1.2917,2.5486,6.125,15.1389,382.6667,301.7014,83.3487,64.1436,125.9753,final
2021-07-01,1011450,RW22,24.0,1.9167,1.8986,5.5417,8.2194,341.9583,239.4583,100.2617,85.3026,141.089,final
2021-07-11,1011450,RW22,24.0,0.75,0.8681,3.9583,5.3153,274.8333,182.375,97.9882,91.1399,148.0615,final
2021-07-21,1011450,RW22,24.0,1.0833,2.3569,3.75,5.1236,228.8333,131.7583,82.6883,90.9174,168.4792,final
2021-08-01,1011450,RW22,24.0,3.7917,6.8236,5.625,10.0486,137.4583,93.9389,74.3569,77.9356,141.8702,final
2021-08-11,1011450,RW22,24.0,10.2083,8.2569,15.0833,17.4375,38.2083,67.7319,114.7197,91.4199,62.0187,final
2021-08-21,1011450,RW22,24.0,8.9167,12.4569,22.9167,27.5375,32.7917,47.8,79.7199,87.6901,74.034,final
2021-09-01,1011450,RW22,24.0,28.9167,22.4056,48.0417,43.1194,59.2083,61.3875,123.7584,109.2663,96.9474,final
2021-09-11,1011450,RW22,24.0,31.3333,22.9194,69.1667,57.7819,88.2083,80.5347,130.1363,116.7961,108.4759,final
2021-09-21,1011450,RW22,24.0,23.25,25.6444,83.5,70.9694,110.1667,103.6306,92.1864,115.4757,105.7521,final
2021-10-01,1011450,RW22,24.0,51.1667,36.7569,105.75,85.3208,159.4167,138.4889,134.5086,121.432,114.0938,final
2021-10-11,1011450,RW22,24.0,75.125,44.9833,149.5417,107.3847,233.7917,182.6042,160.3034,135.9135,126.5765,final
2021-10-21,1011450,RW22,24.0,68.4167,46.6333,194.7083,128.3736,301.125,226.8806,142.1885,147.9389,131.3426,final
2021-11-01,1011450,RW22,24.0,29.5417,52.3097,173.0833,143.9264,326.875,272.3667,60.2719,118.9421,119.3041,final
2021-11-11,1011450,RW22,24.0,29.5,44.0056,127.4583,142.9486,346.1667,308.1153,70.4002,89.8722,111.9615,final
2021-11-21,1011450,RW22,24.0,64.1667,49.5903,123.2083,145.9056,401.4167,345.2486,126.7014,85.4417,115.8109,final
2021-12-01,1011450,RW22,24.0,20.25,40.8833,113.9167,134.4792,392.75,363.7264,55.0309,85.7678,107.766,final
2021-12-11,1011450,RW22,24.0,45.6667,34.9181,130.0833,125.3917,407.0833,375.725,126.9267,103.4653,108.1297,final
2021-12-21,1011450,RW22,24.0,68.0,46.7514,133.9167,122.5528,451.8333,396.8319,141.059,108.5731,113.5194,final
2022-01-01,1011450,RW22,24.0,19.0417,34.1806,132.7083,115.85,419.7083,394.2556,61.3612,113.3956,106.2962,final
2022-01-11,1011450,RW22,24.0,79.5417,34.3222,166.5833,115.2542,424.125,383.5944,214.9972,140.98,110.2975,final
2022-01-21,1011450,RW22,24.0,39.0417,38.175,137.625,106.6778,394.75,375.1361,102.0073,126.5237,105.0927,final
2022-02-01,1011450,RW22,24.0,36.2917,34.8792,154.875,107.3764,401.5,357.7056,103.5419,140.4669,111.9102,final
2022-02-11,1011450,RW22,24.0,74.2083,40.9361,149.5417,113.9903,446.2083,354.6361,172.4315,128.6727,125.1133,final
2022-02-21,1011450,RW22,24.0,37.4583,30.2917,147.9583,106.1069,419.5,335.3375,120.307,136.0456,124.3711,final
2022-03-01,1011450,RW22,24.0,32.5,47.6389,144.1667,118.8667,431.75,342.0931,71.2401,119.6327,125.464,final
2022-03-11,1011450,RW22,24.0,67.625,41.0889,137.5833,119.0194,453.7083,348.2639,157.5759,114.3884,129.4321,final
2022-03-21,1011450,RW22,24.0,39.375,59.5361,139.5,148.2639,425.0833,361.0486,68.76,94.4625,117.2578,final
2022-04-01,1011450,RW22,24.0,38.75,64.1417,145.75,164.7667,444.7917,391.0097,63.2759,89.1188,113.4116,final
2022-04-11,1011450,RW22,24.0,63.6667,57.9514,141.7917,181.6292,428.9167,414.6389,109.0789,79.2112,103.3623,final
